datetime,grdpiece
2020-12-14 12:42:29,4.7
2020-12-14 12:57:29,4.7
2020-12-14 13:12:29,4.7
2020-12-14 13:27:29,4.7
2020-12-14 13:42:29,4.7
2020-12-14 13:57:29,4.7
2020-12-14 14:12:29,4.8
2020-12-14 14:27:29,4.8
2020-12-14 14:42:29,4.8
2020-12-14 14:57:29,4.8
2020-12-14 15:12:29,4.8
2020-12-14 15:27:29,4.8
2020-12-14 15:42:29,4.8
2020-12-14 15:57:29,4.8
2020-12-14 16:12:29,4.8
2020-12-14 16:27:29,4.9
2020-12-14 16:42:29,4.9
2020-12-14 16:57:29,4.9
2020-12-14 17:12:29,4.9
2020-12-14 17:27:29,4.9
2020-12-14 17:42:29,4.9
2020-12-14 17:57:29,4.9
2020-12-14 18:12:29,4.9
2020-12-14 18:27:29,4.9
2020-12-14 18:42:29,4.9
2020-12-14 18:57:29,4.9
2020-12-14 19:12:29,4.9
2020-12-14 19:27:29,4.9
2020-12-14 19:42:29,4.9
2020-12-14 19:57:29,4.9
2020-12-14 20:12:29,4.9
2020-12-14 20:27:29,4.9
2020-12-14 20:42:29,4.9
2020-12-14 20:57:29,4.9
2020-12-14 21:12:29,4.9
2020-12-14 21:27:29,4.9
2020-12-14 21:42:29,5.0
2020-12-14 21:57:29,5.0
2020-12-14 22:12:29,5.0
2020-12-14 22:27:29,5.0
2020-12-14 22:42:29,5.0
2020-12-14 22:57:29,5.0
2020-12-14 23:12:29,5.0
2020-12-14 23:27:29,5.0
2020-12-14 23:42:29,5.0
2020-12-14 23:57:29,5.0
2020-12-15 00:12:29,5.0
2020-12-15 00:27:29,5.0
2020-12-15 00:42:29,5.0
2020-12-15 00:57:29,5.0
2020-12-15 01:12:29,5.0
2020-12-15 01:27:29,5.0
2020-12-15 01:42:29,5.0
2020-12-15 01:57:29,5.0
2020-12-15 02:12:29,5.0
2020-12-15 02:27:29,5.0
2020-12-15 02:42:29,5.0
2020-12-15 02:57:29,5.0
2020-12-15 03:12:29,5.0
2020-12-15 03:27:29,5.1
2020-12-15 03:42:29,5.1
2020-12-15 03:57:29,5.1
2020-12-15 04:12:29,5.1
2020-12-15 04:27:29,5.1
2020-12-15 04:42:29,5.1
2020-12-15 04:57:29,5.1
2020-12-15 05:12:29,5.1
2020-12-15 05:27:29,5.1
2020-12-15 05:42:29,5.1
2020-12-15 05:57:29,5.1
2020-12-15 06:12:29,5.1
2020-12-15 06:27:29,5.1
2020-12-15 06:42:29,5.1
2020-12-15 06:57:29,5.1
2020-12-15 07:12:29,5.2
2020-12-15 07:27:29,5.2
2020-12-15 07:42:29,5.2
2020-12-15 07:57:29,5.2
2020-12-15 08:12:29,5.2
2020-12-15 08:27:29,5.2
2020-12-15 08:42:29,5.2
2020-12-15 08:57:29,5.2
2020-12-15 09:12:29,5.2
2020-12-15 09:27:29,5.2
2020-12-15 09:42:29,5.2
2020-12-15 09:57:29,5.2
2020-12-15 10:12:29,5.2
2020-12-15 10:27:29,5.2
2020-12-15 10:42:29,5.3
2020-12-15 10:57:29,5.3
2020-12-15 11:12:29,5.3
2020-12-15 11:27:29,5.3
2020-12-15 11:42:29,5.3
2020-12-15 11:57:29,5.3
2020-12-15 12:12:29,5.3
2020-12-15 12:27:29,5.3
2020-12-15 12:42:29,5.3
2020-12-15 12:57:29,5.3
2020-12-15 13:12:29,5.3
2020-12-15 13:27:29,5.4
2020-12-15 13:42:29,5.4
2020-12-15 13:57:29,5.4
2020-12-15 14:12:29,5.4
2020-12-15 14:27:29,5.4
2020-12-15 14:42:29,5.4
2020-12-15 14:57:29,5.4
2020-12-15 15:12:29,5.4
2020-12-15 15:27:29,5.4
2020-12-15 15:42:29,5.5
2020-12-15 15:57:29,5.5
2020-12-15 16:12:29,5.5
2020-12-15 16:27:29,5.5
2020-12-15 16:42:29,5.5
2020-12-15 16:57:29,5.6
2020-12-15 17:12:29,5.6
2020-12-15 17:27:29,5.6
2020-12-15 17:42:29,5.6
2020-12-15 17:57:29,5.6
2020-12-15 18:12:29,5.6
2020-12-15 18:27:29,5.6
2020-12-15 18:42:29,5.7
2020-12-15 18:57:29,5.7
2020-12-15 19:12:29,5.7
2020-12-15 19:27:29,5.7
2020-12-15 19:42:29,5.7
2020-12-15 19:57:29,5.7
2020-12-15 20:12:29,5.7
2020-12-15 20:27:29,5.7
2020-12-15 20:42:29,5.7
2020-12-15 20:57:29,5.7
2020-12-15 21:12:29,5.8
2020-12-15 21:27:29,5.8
2020-12-15 21:42:29,5.8
2020-12-15 21:57:29,5.8
2020-12-15 22:12:29,5.8
2020-12-15 22:27:29,5.8
2020-12-15 22:42:29,5.8
2020-12-15 22:57:29,5.8
2020-12-15 23:12:29,5.8
2020-12-15 23:27:29,5.8
2020-12-15 23:42:29,5.8
2020-12-15 23:57:29,5.8
2020-12-16 00:12:29,5.8
2020-12-16 00:27:29,5.9
2020-12-16 00:42:29,5.9
2020-12-16 00:57:29,5.9
2020-12-16 01:12:29,5.9
2020-12-16 01:27:29,5.9
2020-12-16 01:42:29,5.9
2020-12-16 01:57:29,5.9
2020-12-16 02:12:29,5.9
2020-12-16 02:27:29,5.9
2020-12-16 02:42:29,5.9
2020-12-16 02:57:29,5.9
2020-12-16 03:12:29,5.9
2020-12-16 03:27:29,5.9
2020-12-16 03:42:29,5.9
2020-12-16 03:57:29,5.9
2020-12-16 04:12:29,5.9
2020-12-16 04:27:29,5.9
2020-12-16 04:42:29,5.9
2020-12-16 04:57:29,5.9
2020-12-16 05:12:29,5.9
2020-12-16 05:27:29,5.9
2020-12-16 05:42:29,6.0
2020-12-16 05:57:29,6.0
2020-12-16 06:12:29,6.0
2020-12-16 06:27:29,6.0
2020-12-16 06:42:29,6.0
2020-12-16 06:57:29,6.0
2020-12-16 07:12:29,6.0
2020-12-16 07:27:29,6.0
2020-12-16 07:42:29,6.0
2020-12-16 07:57:29,6.0
2020-12-16 08:12:29,6.0
2020-12-16 08:27:29,6.0
2020-12-16 08:42:29,6.0
2020-12-16 08:57:29,6.0
2020-12-16 09:12:29,6.0
2020-12-16 09:27:29,6.0
2020-12-16 09:42:29,6.0
2020-12-16 09:57:29,6.0
2020-12-16 10:12:29,6.0
2020-12-16 10:27:29,6.0
2020-12-16 10:42:29,6.0
2020-12-16 10:57:29,6.0
2020-12-16 11:12:29,6.0
2020-12-16 11:27:29,6.0
2020-12-16 11:42:29,6.0
2020-12-16 11:57:29,6.0
2020-12-16 12:12:29,6.0
2020-12-16 12:27:29,6.1
2020-12-16 12:42:29,6.1
2020-12-16 12:57:29,6.1
2020-12-16 13:12:29,6.1
2020-12-16 13:27:29,6.1
2020-12-16 13:42:29,6.1
2020-12-16 13:57:29,6.1
2020-12-16 14:12:29,6.1
2020-12-16 14:27:29,6.1
2020-12-16 14:42:29,6.2
2020-12-16 14:57:29,6.2
2020-12-16 15:12:29,6.2
2020-12-16 15:27:29,6.2
2020-12-16 15:42:29,6.2
2020-12-16 15:57:29,6.2
2020-12-16 16:12:29,6.3
2020-12-16 16:27:29,6.3
2020-12-16 16:42:29,6.3
2020-12-16 16:57:29,6.3
2020-12-16 17:12:29,6.4
2020-12-16 17:27:29,6.4
2020-12-16 17:42:29,6.4
2020-12-16 17:57:29,6.4
2020-12-16 18:12:29,6.4
2020-12-16 18:27:29,6.4
2020-12-16 18:42:29,6.4
2020-12-16 18:57:29,6.4
2020-12-16 19:12:29,6.4
2020-12-16 19:27:29,6.4
2020-12-16 19:42:29,6.4
2020-12-16 19:57:29,6.4
2020-12-16 20:12:29,6.4
2020-12-16 20:27:29,6.4
2020-12-16 20:42:29,6.4
2020-12-16 20:57:29,6.4
2020-12-16 21:12:29,6.4
2020-12-16 21:27:29,6.4
