# Htsmd;te0;dirN
2.290000000000000000e+02;1.183500000000000085e+01;6.061799999999999500e+02
2.300000000000000000e+02;1.153500000000000014e+01;5.412999999999999545e+02
2.310000000000000000e+02;1.093500000000000050e+01;3.610000000000000000e+02
2.320000000000000000e+02;9.734999999999999432e+00;4.803000000000000114e+01
2.330000000000000000e+02;9.435000000000000497e+00;4.000000000000000083e-02
2.340000000000000000e+02;1.013499999999999979e+01;0.000000000000000000e+00
2.350000000000000000e+02;9.435000000000000497e+00;0.000000000000000000e+00
2.360000000000000000e+02;9.734999999999999432e+00;0.000000000000000000e+00
2.370000000000000000e+02;9.734999999999999432e+00;0.000000000000000000e+00
2.380000000000000000e+02;9.935000000000000497e+00;0.000000000000000000e+00
2.390000000000000000e+02;1.013499999999999979e+01;0.000000000000000000e+00
2.400000000000000000e+02;1.023499999999999943e+01;0.000000000000000000e+00
2.410000000000000000e+02;9.734999999999999432e+00;0.000000000000000000e+00
2.420000000000000000e+02;9.535000000000000142e+00;0.000000000000000000e+00
2.430000000000000000e+02;9.734999999999999432e+00;0.000000000000000000e+00
2.440000000000000000e+02;9.435000000000000497e+00;0.000000000000000000e+00
